Name	Set	ImageFile	Element	Type	Archetype 1	Archetype 2	Cost	Attack	Defense	Effect
Moustacean	BASE_SET	Moustacean.png	Water	Elestral	Oceanic	N/A	{Water}	1	6	You can Expend {Water} in order to swap this Moustacean's {Attack} with its {Defense} until the End Phase. This effect can also be activated when an opponent Normal Casts an Elestral.
Mudlet	DAYBREAK	Mudlet.png	Earth	Elestral	Brute	N/A	{Earth}	3	3	When this Mudlet receives 1 or more {Earth} you can change the Position of an Elestral.
Narpoon	FROSTFALL	Narpoon.png	Water	Elestral	Oceanic	N/A	{Water}	4	3	When you Normal Cast this Narpoon you can Search your deck for a 1 Spirit {Frost} Elestral and add it to your hand.
Neandersloth	FROSTFALL	Neandersloth.png	Earth	Elestral	Dryad	Archaic	{Earth}{Earth}	6	5	When this Neandersloth destroys an opponent's Elestral in battle that opponent must discard 2 cards from their hand. While Titanostalk is in your Underworld this Neandersloth gets +7 {Attack}.
Nebuleo	DAYBREAK	Nebuleo.png	Solar	Elestral	Brute	Ethereal	{Solar}	2	1	This Nebuleo gets +1 {Attack} for each Enchanting {Solar} on the field. You can Foretell 4 and add any number of Nebuleo, Leobrite, Celestleo, and/or First Light Foretold this way to your hand.
Necruff	STRUCTURE_DECK_TRIFERNAL	Necruff.png	Fire	Elestral	Eldritch	Brute	{Fire}	5	1	When this Necruff destroys an opponent's Elestral in battle that opponent must Expend {Omni}.
Nemisail	FROSTFALL	Nemisail.png	Wind	Elestral	Archaic	Avian	{Wind}	3	1	When this Nemisail receives 1 or more {Wind} you can return up to {Wind}{Wind} from your Underworld to your Spirit Deck.
Nimbug	BASE_SET	Nimbug.png	Wind	Elestral	Insectoid	N/A	{Wind}	1	1	You can Expend {Wind} in order to Special Ascend this Nimbug to Cirrucoon from your hand or deck.
Novacore	DAYBREAK	Novacore.png	Solar	Elestral	Ethereal	Behemoth	{Solar}{Solar}	4	8	Your Defense Position Elestrals cannot be targeted by opponents' Counter Runes. When a player Casts a Counter Rune you can draw a card.
Ohmperial	STRUCTURE_DECK_OHMPHERIAL	Ohmperial.png	Thunder	Elestral	Avian	Ethereal	{Thunder}{Thunder}{Thunder}	8	12	This Ohmperial gets +1 {Attack} for each {Thunder} in your Spirit Deck. You can Expend {Thunder} in order to target and destroy a card.
Oystress	BASE_SET	Oystress.png	Water	Elestral	Aquatic	N/A	{Water}	1	3	This Oystress gets +1 {Defense} for each Enchanting {Water} on the field.
Paleoth	FROSTFALL	Paleoth.png	Earth	Elestral	Dryad	Archaic	{Earth}	3	1	When this Paleoth is destroyed in battle or by an opponent's card effect you can Search your deck for up to 2 {Earth} Elestrals that have the same name, then send 1 to your Underworld and add the other to your hand.
Pandicine	BASE_SET_PROMOS	Pandicine.png	Earth	Elestral	Brute	N/A	{Earth}	1	4	You can Disenchant {Earth} from this Pandicine in order to return an Invoke Rune from your Underworld to your hand.
Pandilence	DAYBREAK	Pandilence.png	Lunar	Elestral	Brute	N/A	{Lunar}	4	1	You can Disenchant {Lunar} from this Pandilence in order to return a Counter Rune from your Underworld to your Rune Row face-down.
Pandzer	FROSTFALL	Pandzer.png	Earth	Elestral	Dryad	Brute	{Earth}	3	3	This Pandzer gets +1 {Defense} for each {Earth} Enchanting it. You can Nexus {Earth}. When you do, you can return {Earth} from your Underworld to your Spirit Deck or Enchant {Earth} from your Underworld to this Pandzer.
Peagleam	DAYBREAK	Peagleam.png	Solar	Elestral	Avian	Ethereal	{Solar}	1	2	When this Peagleam receives 1 or more {Solar} you can target an Elestral and set its base {Attack} to 0 until the End Phase.
Peagust	BASE_SET	Peagust.png	Wind	Elestral	Avian	Ethereal	{Wind}	2	3	When this Peagust receives 1 or more {Wind} you can target and destroy a Rune.
Peliquarius	STRUCTURE_DECK_MAJESEA	Peliquarius.png	Wind	Elestral	Avian	Ethereal	{Wind}	3	4	When you Normal Cast this Peliquarius you can Search your deck for an Elestral with Enchantment Cost {Water} and add it to your hand.
Penguwatt	FROSTFALL	Penguwatt.png	Frost/Thunder	Elestral	Avian	N/A	{Frost}{Thunder}	5	7	During your Draw Phase you can Discenchant {Frost} or {Thunder} from your field in order to Special Ascend this Penguwatt to Emperowatt from your hand or deck.
Penterror	STRUCTURE_DECK_PENTERROR	Penterror.png	Wind	Elestral	Dragon	Eldritch	{Wind}{Wind}{Wind}	15	8	When this Penterror is destroyed by an opponent's card effect you can Special Cast any number of Hydrake or Twindra from your hand or deck in Attack Position.
Permaphrog	FROSTFALL	Permaphrog.png	Frost	Elestral	Aquatic	N/A	{Frost}{Frost}	1	3	Elestrals cannot attack unless they are {Frost}-Enchanted or {Fire}-Enchanted. During your opponent's End Phase you must Expend {Frost} or destroy this Permaphrog.
Pharogeist	DAYBREAK	Pharogeist.png	Lunar/Solar	Elestral	Spectral	Brute	{Lunar}{Lunar}{Solar}	9	13	This Pharogeist cannot be destroyed in battle and cannot be returned to the hand by opponents' card effects. Opponents must Expend {Omni} in order to Cast cards.
Pharomel	DAYBREAK	Pharomel.png	Solar/Lunar	Elestral	Brute	Spectral	{Solar}{Lunar}	4	7	When an opponent's Elestral declares an attack you can Expend {Lunar} in order to Negate that attack and Special Ascend this Pharomel into Pharogeist from your hand or deck.
Phosvocell	DAYBREAK	Phosvocell.png	Thunder/Solar	Elestral	Insectoid	Dragon	{Thunder}{Thunder}{Solar}	7	4	This Phosvocell gets +1 {Attack} for each {Solar} Enchanting it. You can Disenchant {Thunder}{Thunder} from this Phosvocell in order to destroy a Rune. When this Phosvocell receives 1 or more {Solar} you can Enchant up to {Thunder}{Thunder} from your Underworld to it.
Platypulse	FROSTFALL	Platypulse.png	Thunder	Elestral	Aquatic	N/A	{Thunder}	1	1	Elestrals that are not {Thunder}-Enchanted get -1 {Attack} for each Enchanting {Thunder} on your field. Effects of Elestrals named Platypulse cannot reduce an Elestral's {Attack} by more than -4 total.
Plucky	DAYBREAK	Plucky.png	Solar	Elestral	Avian	Ethereal	{Solar}	1	4	When you Normal Cast this Plucky you can Search your deck for a Divine Rune and add it to your hand.
Polarachne	FROSTFALL	Polarachne.png	Frost	Elestral	Insectoid	N/A	{Frost}{Frost}	2	5	Your opponents' Elestrals get -2 {Attack}. You can Expend {Frost} in order to target and destroy an Elestral with 2 or less {Attack}.
Polzer	DAYBREAK	Polzer.png	Frost	Elestral	Eldritch	Brute	{Frost}	2	2	This Polzer gets +1 {Attack} for each {Frost} Elestral in your Underworld. This effect cannot increase this Polzer's {Attack} by more than +5 total.
Porcutide	DAYBREAK	Porcutide.png	Water	Elestral	Oceanic	Eldritch	{Water}	1	4	When this Porcutide is destroyed in battle by an opponent they must either discard a card or Expend {Omni}{Omni}.
Pterrosail	FROSTFALL	Pterrosail.png	Wind/Water	Elestral	Archaic	Avian	{Wind}{Water}	7	3	You can Nexus {Wind} or {Water}. When you do, you can Special Cast a Nemisail from your hand or deck.
Quackle	STRUCTURE_DECK_OHMPHERIAL	Quackle.png	Thunder	Elestral	Avian	Ethereal	{Thunder}	2	3	When you Cast this Quackle you can return up to {Thunder}{Thunder}{Thunder} from your Underworld to your Spirit Deck.
Raiceridge	FROSTFALL	Raiceridge.png	Thunder/Frost	Elestral	Behemoth	N/A	{Thunder}{Frost}	4	6	You can Expend {Thunder} in order to target and Special Ascend your Raiceros to this Raiceridge from your hand. When an Elestral that is not {Thunder}-Enchanted declares an attack you can Expend {Thunder} in order to Negate that attack.
Raiceros	FROSTFALL	Raiceros.png	Thunder	Elestral	Brute	N/A	{Thunder}	2	4	While this Raiceros is Enchanted Elestrals cannot attack the turn they are cast unless they are {Thunder}-Enchanted.
Rhinosect	DAYBREAK	Rhinosect.png	Frost	Elestral	Insectoid	N/A	{Frost}{Frost}	8	5	This Rhinosect can be Special Cast from your hand if you have a card that is originally an Elestral in your Rune Row. You can target and destroy an Empowered Elestral.
Rhinymph	DAYBREAK	Rhinymph.png	Frost	Elestral	Insectoid	N/A	{Frost}	1	5	You can Expend {Frost} in order to move this Rhinymph to your Rune Row. It becomes an Artifact Rune Empowering an Elestral of your choice with the effect "The Empowered Elestral is Suppressed and gets -2 {Defense}".
Roominous	DAYBREAK	Roominous.png	Solar	Elestral	Brute	N/A	{Solar}{Solar}	7	4	When this Roominous deals damage to an opponent they must send the top 3 cards from their deck to the Underworld for each Spirit they Expended.
Rummacoal	DAYBREAK	Rummacoal.png	Fire	Elestral	Golem	Brute	{Fire}	2	2	When you Normal Cast this Rummacoal you can Search your deck for a Stadium Rune or Stoke the Forge and add it to your hand. This Rummacoal gets +1 {Attack} for each {Fire} Enchanting it as long as Volcanic Forge is Enchanted.
Rummagem	STRUCTURE_DECK_CENTAURBOR	Rummagem.png	Earth	Elestral	Golem	Brute	{Earth}	2	3	When you Normal Cast this Rummagem you can Search your deck for an Elestral with Enchantment Cost {Earth} and add it to you hand.
Sakurasaur	BASE_SET	Sakurasaur.png	Earth	Elestral	Archaic	Dryad	{Earth}{Earth}	6	8	You can Expend {Earth} in order to draw 2 cards.
Satymber	STRUCTURE_DECK_CENTAURBOR	Satymber.png	Earth	Elestral	Dryad	N/A	{Earth}{Earth}	5	7	When this Satymber is Empowered by an Artifact and destroys an Elestral in battle you can Nexus the Spirits from that Artifact to this Satymber and Special Ascend it to Centaurbor from your hand or deck.
Scavacoal	DAYBREAK	Scavacoal.png	Fire	Elestral	Golem	Behemoth	{Fire}{Fire}	5	4	When you Ascend into this Scavacoal you can Expend {Fire} in order to Search your deck for up to 2 cards with Enchantment Cost {Fire} or {Fire}{Fire} and add them to your hand.
Scavagem	BASE_SET	Scavagem.png	Earth	Elestral	Golem	Behemoth	{Earth}{Earth}	4	6	When you Ascend into this Scavagem you can Expend {Earth} in order to Search your deck for up to 2 cards with Enchantment Cost {Earth} or {Earth}{Earth} and add them to your hand.
Shiveroar	FROSTFALL	Shiveroar.png	Frost	Elestral	Behemoth	N/A	{Frost}{Frost}	7	5	You can Enchant {Frost} from your Underworld to a {Frost} Elestral on your field. While Mountains of Boreas is Enchanted this Shiveroar cannot be targeted by opoonents' Rune effects.
Sinder	STRUCTURE_DECK_TRIFERNAL	Sinder.png	Fire	Elestral	Eldritch	N/A	{Fire}	3	2	When this Sinder receives 1 or more {Fire} your opponents must send the top 3 cards from their deck to the Underworld.
Sluggle	STRUCTURE_DECK_MAJESEA	Sluggle.png	Water	Elestral	Oceanic	N/A	{Water}	2	2	When you Cast this Sluggle you can return up to {Water}{Water}{Water} from your Underworld to your Spirit Deck.
Smokee	FROSTFALL	Smokee.png	Fire	Elestral	Ethereal	N/A	{Fire}	3	2	When you Special Cast this Smokee you can draw 2 cards.
Smoltuga	DAYBREAK	Smoltuga.png	Water	Elestral	Oceanic	N/A	{Water}	2	5	When you Normal Cast this Smoltuga you can Search your deck for an Elestral with Enchantment Cost {Fire} and add it to your hand.
Snowattle	STRUCTURE_DECK_EMPEROWATT	Snowattle.png	Frost	Elestral	Avian	N/A	{Frost}	2	4	When you Normal Cast this Snowattle you can Search your deck for an Elestral with Enchantment Cost {Frost}{Thunder} and add it to your hand.
Soarlet	STRUCTURE_DECK_PENTERROR	Soarlet.png	Wind	Elestral	Brute	Ethereal	{Wind}	5	1	You can Expend {Wind} in order to change the Position of ane Elestral unless it is {Wind}-Enchanted.
Solbelle	DAYBREAK	Solbelle.png	Solar	Elestral	Brute	Ethereal	{Solar}	1	4	When you Foretell you may Special Ascend this Solbelle to a Foretold Solstox. Your Apollos' effects that Foretell cards reveal an additional 2 cards.
Solstox	DAYBREAK	Solstox.png	Solar	Elestral	Behemoth	Ethereal	{Solar}{Solar}	4	7	When you Special Cast this Solstox you can Enchant up to {Solar}{Solar} from your Underworld to your field. You can Disenchant {Solar} from your Apollo in order to target and destroy a card.
Sonicore	BASE_SET	Sonicore.png	Thunder	Elestral	Eldritch	Behemoth	{Thunder}{Thunder}	7	2	This Sonicore's Cast cannot be chained by Counter Runse. As long as this Sonicore is in Attack Position players cannot Cast Counter Runes.
Sparkitt	STRUCTURE_DECK_OHMPHERIAL	Sparkitt.png	Thunder	Elestral	Brute	Archaic	{Thunder}	4	1	You can Nexus up to {Thunder}{Thunder}. When you do, you can look at an opponent's hand and discard a card from it.
Specteris	DAYBREAK	Specteris.png	Lunar	Elestral	Insectoid	Spectral	{Lunar}	4	2	This Specteris gets +1 {Attack} for each Suppressed Elestral on the field. When this Specteris enters battle with an Elestral you can Suppress that Elestral until the End Phase.
Spinosect	STRUCTURE_DECK_CENTAURBOR	Spinosect.png	Earth/Wind	Elestral	Insectoid	Eldritch	{Earth}{Wind}	1	9	This Spinosect can attack in Defense Position. If it does, use its {Defense} for calculations.
Spinymph	STRUCTURE_DECK_CENTAURBOR	Spinymph.png	Earth	Elestral	Insectoid	N/A	{Earth}	1	5	When this Spinymph is destroyed in battle you can Cast it as an Artifact Empowering the Elestral that destroyed it with the effect "The Empowered Elestral has 0 base {Attack}."
Sproutyr	STRUCTURE_DECK_CENTAURBOR	Sproutyr.png	Earth	Elestral	Dryad	N/A	{Earth}	3	5	When you Normal Cast this Sproutyr you can Search your deck for an Artifact Rune and add it you your hand.
Stratomoth	BASE_SET	Stratomoth.png	Wind	Elestral	Insectoid	N/A	{Wind}{Wind}{Wind}	9	5	This Stratomoth gets +1 {Attack} for every Nimbug and Cirrucoon on your field and in your Underworld. You can Expend {Wind} in order to return each of your opponents' Runes to their hand.
Sundile	DAYBREAK	Sundile.png	Solar	Elestral	Aquatic	Ethereal	{Solar}	2	1	You can Expend {Solar} in order to Enchant {Water} to your field. During your End Phase you can Special Ascend this Sundile into Gnomodile from your hand or deck if it is {Water}-Enchanted.
Tadfloe	FROSTFALL	Tadfloe.png	Frost	Elestral	Aquatic	N/A	{Frost}	1	1	You can Expend {Frost} in order to Special Ascend this Tadfloe to an Elestral with Enchantment Cost {Frost} or {Frost}{Frost} from your hand.
Tadpuff	STRUCTURE_DECK_CHRONODILE	Tadpuff.png	Water	Elestral	Aquatic	N/A	{Water}	1	1	You can Expend {Water} in order to Special Cast this Tadpuff from your hand in Attack Position with {Water}.
Tectaurus	STRUCTURE_DECK_CENTAURBOR	Tectaurus.png	Earth	Elestral	Golem	Behemoth	{Earth}	3	2	This Tectaurus gets +1 {Attack} for each Enchanting {Earth} on the field.
Titanostalk	BASE_SET	Titanostalk.png	Earth	Elestral	Archaic	Dryad	{Earth}	1	4	You can Expend {Earth} in order to force an opponent to reveal their hand until the End Phase.
Toxion	STRUCTURE_DECK_OHMPHERIAL	Toxion.png	Thunder	Elestral	Insectoid	Eldritch	{Thunder}	4	2	When this Toxion receives 1 or more {Thunder} your opponent must Expend {Omni}.
Toxiswarm	DAYBREAK	Toxiswarm.png	Wind	Elestral	Insectoid	Eldritch	{Wind}	4	1	When this Toxiswarm receives 1 or more {Wind} your opponent must Expend {Omni}.
Trifernal	STRUCTURE_DECK_TRIFERNAL	Trifernal.png	Fire	Elestral	Eldritch	Behemoth	{Fire}{Fire}{Fire}	14	3	When an opponent Casts an Elestral you can Expend {Fire} in order to give it -3 {Defense} until your next End Phase. If that Elestral's {Defense} is reduced to 0 by this effect, it is destroyed.
Twindra	STRUCTURE_DECK_PENTERROR	Twindra.png	Wind	Elestral	Dragon	Eldritch	{Wind}{Wind}	5	4	When this Twindra is destroyed in battle you can Special Cast a Penterror from your hand or deck in Attack Position.
Typhlant	BASE_SET	Typhlant.png	Water	Elestral	Aquatic	Brute	{Water}	2	2	When you Cast this Typhlant you can discard a random card from an opponent's hand.
Urscoat	FROSTFALL	Urscoat.png	Frost	Elestral	Ursa	N/A	{Frost}	2	3	When this Urscoat is attacked, during the Damage Step you can return the attacking Elestral to its owner's hand. (You can do this even if this Urscoat is destroyed by the attack.)
Urscout	BASE_SET_PROMOS	Urscout.png	Fire	Elestral	Ursa	N/A	{Fire}	1	3	When this Urscout is destroyed in battle you can Special Cast an (Ursa) Elestral that costs 1 Spirit from your hand or deck.
Ursear	BASE_SET_PROMOS	Ursear.png	Fire	Elestral	Ursa	N/A	{Fire}	3	1	When this Ursear destroys an Elestral in battle you can Special Cast an (Ursa) Elestral that costs 1 Spirit from your hand or deck.
Ursicle	FROSTFALL	Ursicle.png	Frost	Elestral	Ursa	N/A	{Frost}	1	3	When you Normal Cast this Ursicle you can Search your deck for an (Ursa) Elestral or Rune and add it to your hand.
Ursmog	BASE_SET_PROMOS	Ursmog.png	Fire	Elestral	Ursa	N/A	{Fire}	2	3	You can Expend {Fire} in order to Special Cast an (Ursa) Elestral that costs 1 Spirit from your hand.
Verdalith	FROSTFALL	Verdalith.png	Earth	Elestral	Golem	N/A	{Earth}{Earth}	3	7	This Verdalith can be Normal Cast with {Earth}{Earth} if your opponent has at least 4 more Spirits in their Spirit Deck than you do. When you Cast this Moralith you can return up to {Earth}{Earth}{Earth}{Earth} from your Underworld to your Spirit Deck.
Verutaqua	STRUCTURE_DECK_TRIFERNAL	Verutaqua.png	Water	Elestral	Oceanic	N/A	{Water}	3	1	When this Verutaqua enters battle with a Defense Position Elestral you can negate that Elestral's effect and destroy it. If you do, this Verutaqua does no damage this battle.
Verutouca	DAYBREAK	Verutouca.png	Wind	Elestral	Avian	N/A	{Wind}	3	1	When this attacking Verutouca enters battle with an Attack Position Elestral that has equal or fewer Enchanting Spirits, you can Suppress that Elestral and destroy it. If you do, this Verutouca deals no damage this battle.
Vesuvituga	DAYBREAK	Vesuvituga.png	Earth/Fire	Elestral	Dryad	Golem	{Earth}{Fire}	5	8	You can Expend {Fire} in order to force an opponent to Expend {Omni}{Omni}. When a player casts Eruption you can return up to {Earth}{Earth} from your Underworld to your Spirit Deck.
Volcaries	STRUCTURE_DECK_TRIFERNAL	Volcaries.png	Fire	Elestral	Ethereal	Brute	{Fire}	3	2	This Volcaries gets +1 {Attack} for each Enchanting {Fire} on the field.
Voltempest	BASE_SET_PROMOS	Voltempest.png	Thunder/Wind	Elestral	Avian	Behemoth	{Thunder}{Thunder}{Wind}	13	10	You can Disenchant {Thunder} or {Wind} from this Voltempest to force an opponent to Expend {Omni}{Omni}{Omni}. As long as Zeus is Enchanted this Voltempest cannot be targeted by an opponent's card effect.
Vysceris	TOURNAMENT_PACK_ONE	Vysceris.png	Earth	Elestral	Insectoid	N/A	{Earth}	4	2	This Vysceris gains +1 {Attack} for each Vysceris on the field. When this Vysceris destroys an Elestral in battle you can Special Cast a Vysceris from your hand or deck in Defense Position.
Warmite	STRUCTURE_DECK_TRIFERNAL	Warmite.png	Fire	Elestral	Insectoid	N/A	{Fire}	3	1	You can target an opponent's Elestral and give it -4 {Attack} until the End Phase.
Waspivy	FROSTFALL	Waspivy.png	Earth	Elestral	Insectoid	Eldritch	{Earth}{Earth}	8	1	When this Waspivy is destroyed in battle an opponent must Expend {Omni}{Omni}{Omni}. This Waspivy is Unaffected by opponents' Counter Runes if it Ascended from Cyanectar.
Waspyre	TOURNAMENT_PACK_ONE	Waspyre.png	Fire	Elestral	Insectoid	Eldritch	{Fire}{Fire}	5	1	You can Disenchant {Fire} from an Ignectar or Waspyre to force an opponent to Expend {Omni}{Omni}. This Waspyre's effect can be activated any number of times on your turn.
Whalance	FROSTFALL	Whalance.png	Water/Frost	Elestral	Oceanic	Behemoth	{Water}{Frost}	8	4	When this Whalance destroys an opponent's Elestral in battle you can Search that player's deck for any number of cards with the same name as that Elestral and send them to their Underworld.
Zephrog	TOURNAMENT_PACK_ONE	Zephrog.png	Water/Wind	Elestral	Aquatic	N/A	{Water}Wind	4	3	This Zephrog can attack an opponent's Spirit Deck directly. When this Zephrog inflicts damage to an opponent you can look at that opponent's hand and discard a card.
Aeolus	BASE_SET	Aeolus.png	Wind	Divine Rune	N/A	N/A	{Wind}			When you Cast this Aeolus you can Enchant up to {Wind}{Wind}{Wind}{Wind} to it. You can Disenchant {Wind}{Wind} from this Aeolus in order to Search your deck for an Elestral with Enchantment Cost {Wind} and add it to your hand.
Altar of Stars	BASE_SET	AltarofStars.png	Omni	Counter Rune	N/A	N/A	{Omni}			Nexus {Omni}. If you do, you can change the Position of an Elestral.
Ambrosia	BASE_SET	Ambrosia.png	Omni	Invoke Rune	N/A	N/A	{Omni}			Return up to {Omni}{Omni}{Omni} from your Underworld to your Spirit Deck.
Ambrosia - Cornucopia	FROSTFALL	Ambrosia-Cornucopia.png	Earth	Invoke Rune	N/A	N/A	{Earth}{Earth}			Draw a card, then return any number of {Omni} from your Underworld to your Spirit Deck up to the number of Ambrosia in your Underworld.
Apollo	DAYBREAK	Apollo.png	Solar	Divine Rune	N/A	N/A	{Solar}			When you Cast this Apollo you can Enchant up to {Solar}{Solar}{Solar} to it. You can Disenchant {Solar} from this Apollo in order to Foretell 3 and add up to 1 {Solar} Elestral revealed this way to your hand.
Argo	DAYBREAK	Argo.png	Omni	Counter Rune	N/A	N/A	{Omni}{Omni}			This Argo can only be Cast after an Elestral declares an attack. Cast an Artifact Rune from your hand or deck.
Atlantis	BASE_SET	Atlantis.png	Water	Stadium Rune	N/A	N/A	{Water}			Elestrals get +1 {Attack} and +1 {Defense} for each {Water} Enchanting them.
Avalanche	FROSTFALL	Avalanche.png	Frost	Invoke Rune	N/A	N/A	{Frost}			Each player send the top 3 cards from their deck to their Underworld. Then if you control a {Frost}-Enchanted Elestral you can send an additional 2 cards from the top of your deck to your Underworld.
Bag of Winds	BASE_SET	BagofWinds.png	Wind	Artifact Rune	N/A	N/A	{Wind}{Wind}			The Empowered Elestral gets +2 {Defense} and cannot be targeted by an opponent's Rune. When Aeolus is Enchanted and the Empowered Elestral in battle you can target and destroy a Rune.
Blizzard	FROSTFALL	Blizzard.png	Frost	Invoke Rune	N/A	N/A	{Frost}{Frost}			This Blizzard's Cast cannot be chained by Counter Runes. Target and destroy an opponent's face-down Rune.
Bloom	DAYBREAK	Bloom.png	Earth	Counter Rune	N/A	N/A	{Earth}			Nexus {Earth}. When you do, you may Enchant {Earth} to an Elestral on your field.
Bow of Apollo	DAYBREAK	BowofApollo.png	Solar	Artifact Rune	N/A	N/A	{Solar}			The Empowered Elestral can attack opponents' Spirit Deck directly. When Apollo is Enchanted and the Empowered Elestral deals damage to an opponent you can return {Solar} from your Underworld to your Spirit Deck.
Chains of Prometheus	FROSTFALL	ChainsofPrometheus.png	Fire	Counter Rune	N/A	N/A	{Fire}{Fire}			This Chains of Prometheus can only be Cast when an opponent activates a Counter Rune. Negate that Rune and that opponent returns {Omni} from their Underworld to their Spirit Deck.
Charons Obol	BASE_SET	CharonsObol.png	Omni	Counter Rune	N/A	N/A	{Omni}			Until the End Phase, when an Elestral is destroyed in battle you can draw a card.
Circle the Sky	BASE_SET	CircletheSky.png	Omni	Invoke Rune	N/A	N/A	{Omni}			Nexus up to {Omni}{Omni}. If you do, you can draw a card.
Cryoblast	DAYBREAK	Cryoblast.png	Frost	Invoke Rune	N/A	N/A	{Frost}			Target an Elestral that is not {Frost}-Enchanted. Until the End Phase, give it -2 {Defense} and when that Elestral has 0 {Defense} you must destroy it.
Demeter	BASE_SET	Demeter.png	Earth	Divine Rune	N/A	N/A	{Earth}			When you Cast this Demeter you can Enchant up to {Earth}{Earth}{Earth} to it. You can Disenchant {Earth} from this Demeter in order to give +3 {Attack} and +3 {Defense} to an Elestral until the End Phase.
Dense Fog	DAYBREAK	DenseFog.png	Lunar	Counter Rune	N/A	N/A	{Lunar}			Suppress each Elestral that is not {Lunar}-Enchanted until the End Phase.
Divine Blessing	FROSTFALL	DivineBlessing.png	Omni	Counter Rune	N/A	N/A	{Omni}			This Divine Blessing can only be Cast when an opponent activates an Invoke Rune. Disenchant {Omni} from your field in order to Negate that Rune.
Don't Poke the Bear!	DAYBREAK	DontPoketheBear!.png	Fire	Counter Rune	Ursa	N/A	{Fire}			This Don’t Poke the Bear! can only be Cast during the Battle Phase. Target an {Ursa} Elestral and give it +4 {Attack} and +4 {Defense} until the End Phase.
Drops of Lethe	BASE_SET	DropsofLethe.png	Omni	Invoke Rune	N/A	N/A	{Omni}{Omni}			Reveal any number of cards from your hand, then shuffle them into your deck and draw that many cards plus one.
Earthquake	BASE_SET	Earthquake.png	Earth	Invoke Rune	N/A	N/A	{Earth}{Earth}			Target and destroy an Elestral.
Eruption	BASE_SET	Eruption.png	Fire	Invoke Rune	N/A	N/A	{Fire}{Fire}			An opponent must Expend {Omni}{Omni}{Omni}. If they control a {Fire}-Enchanted Elestral they must Expend {Omni} instead.
First Light	DAYBREAK	FirstLight.png	Solar	Invoke Rune	N/A	N/A	{Solar}			Search your deck for a {Solar} Elestral and put it on top of your deck.
Follow the Wisps	DAYBREAK	FollowtheWisps.png	Fire	Counter Rune	N/A	N/A	{Fire}			Target an Elestral on your field. Your other Elestrals cannot be attacked this turn as long as that Elestral is Enchanted.
Foloi Forest	BASE_SET	FoloiForest.png	earth	Stadium Rune	N/A	N/A	{Earth}			Elestrals get +1 {Attack} and +1 {Defense} for each {Earth} Enchanting them.
Golden Apple of Discord	BASE_SET	GoldenAppleofDiscord.png	Omni	Invoke Rune	N/A	N/A	{Omni}			Discard a card from your hand in order to discard a random card from an opponent's hand and send the top 2 cards from their deck to their Underworld.
Golden Fleece	DAYBREAK	GoldenFleece.png	Solar	Artifact Rune	N/A	N/A	{Solar}{Solar}			The Empowered Elestral gets +2 {Defense}. If the Empowered Elestral would be destroyed in battle or by an opponent's card effect you may destroy this Golden Fleece instead.
Gorgon's Gaze	DAYBREAK	GorgonsGaze.png	Omni	Counter Rune	N/A	N/A	{Omni}{Omni}			Target an Elestral. If its effect is on the chain, Negate it. Until the End Phase that Elestral is Suppressed and it cannot receive Enchantments, attack, Nexus, or Ascend.
Guardian of the Fleece	DAYBREAK	GuardianoftheFleece.png	Solar	Counter Rune	N/A	N/A	{Solar}{Solar}			This Guardian of the Fleece can only be Cast when an opponent activates a card effect that targets an Artifact or Empowered Elestral on your field. Negate that effect, then destroy a card on that opponent's field.
Hammer of Hephaestus	BASE_SET	HammerofHephaestus.png	Fire	Artifact Rune	N/A	N/A	{Fire}{Fire}			The Empowered Elestral gets +1 {Attack} for each Enchanted Rune on your field. As long as Hephaestus is Enchanted the Empowered Elestral cannot be targeted by an opponent's Elestral effects.
Helios' Chariot Ride	BASE_SET	HeliosChariotRide.png	Omni	Counter Rune	N/A	N/A	{Omni}{Omni}			This Helios' Chariot Ride can only be Cast during the Draw Phase. Opponents cannot Cast Runes this turn.
Hephaestus	BASE_SET	Hephaestus.png	Fire	Divine Rune	N/A	N/A	{Fire}			When you Cast this Hephaestus you can Enchant up to {Fire}{Fire}{Fire} to it. You can Disenchant {Fire} from this Hephaestus to Search your deck for an Artifact Rune and add it to your hand.
Island of Aeolia	BASE_SET	IslandofAeolia.png	Wind	Stadium Rune	N/A	N/A	{Wind}			Elestrals get +1 {Attack} and +1 {Defense} for each {Wind} Enchanting them.
Khione	FROSTFALL	Khione.png	Frost	Divine Rune	N/A	N/A	{Frost}			When you Cast this Khione you can Enchant {Frost}{Frost}{Frost} to it. You can Disenchant {Frost} from this Khione in order to return a 1 Spirit {Frost} Elestral from your Underworld to your hand.
Mountains of Boreas	FROSTFALL	MountainsofBoreas.png	Frost	Stadium Rune	N/A	N/A	{Frost}			Elestrals get +1 {Attack} and +1 {Defense} for each {Frost} Enchanting them.
Mt. Olympus	BASE_SET	MtOlympus.png	Thunder	Stadium Rune	N/A	N/A	{Thunder}			Elestrals get +1 {Attack} and +1 {Defense} for each {Thunder} Enchanting them.
Mudslide	DAYBREAK	Mudslide.png	Earth/Water	Invoke Rune	N/A	N/A	{Earth}{Water}			An opponent must Disenchant {Omni} from each of their Runes. You may Enchant {Earth}/{Water} to your field.
